a = { a név  egalizál kiemel mutat személyazonosság tárgyal dologbeli amelyik szab va } 
atlétatrikó = {  ujjas mélyed kivág nyak trik amit in alatt vagy sport in helyett visel fiú atlétatrikó sorakozik fel a torna } 
atlétika = { atlétika főnév    sport egalizál terület } 
atlétikus = { atlétikus melléknév  bajnok } 
atmoszféra = { atmoszféra főnév  gáz egalizál égi körül amely különféleképp gázokádó állag minden bolygó atmoszféra lélegez be az ember számára } 
atmoszférikus = { atmoszférikus melléknév  légkör } 
atok = { -atok -etek igerag említ cselekvés felszólít a megszólít személyes szól } 
atom = { atom főnév    feltételez legkevésbé alkotórész amely egalizál kémia elem jellemző } 
atombomba = { atombomba főnév  katona repülőgép ledob robban szerkezet amely magház útján fejt ko rendkívül nagyacsád robbanó atombomba az egyik leg fegyvercsattogás } 
atomcsend-egyezmény = {  } 
atomelmélet = {    az atom szerkezet foglal tudomány } 
atomenergia = { atomenergia főnév    széthasad atom felszabadul energia amely általános elektromos áramoltat állít elő atomenergia csak jó céloz kellem használ } 
atomfegyver = { atomfegyver főnév  katona nagyacsád hatású pusztít harci eszköz amely az atom köztartozás gyorsabbodik nagyacsád energiátlan átalakulás fejt ko rombol erejű atomfegyver vagy az atommag hasadás vagy egyesülés történelem } 
atomfizika = { atomfizika magfolyás főnév  a fizika részt amely az atommag felépítés é viselkedés foglalkozik } 
atomháború = { atomháború főnév  katona pusztít küzdelem amely a részvény fele atomfegyver használ egymás ellen atomháború eset megsemmisül a föld civilizál } 
atomista = {  az atomelmélet vall görög bölcsészet iskola tag } 
atomizál = {    átvillan értelem részecske bont egalizál csoportos elszigetel egyed választ egalizál közösben társadalmi nagyváros életvezetés atomizál a városlakó } 
atommag = { atommag főnév  fizika egalizál atom központ rész amely legalábbis egalizál proton tartalmaz töltés pozitíve } 
atompálya = {  } 
atomrács = {  } 
atomsúly = { atomtörzs főnév  fizika kémia egalizál elem atom átlag tömeg  -es izotóp  szénatartó tömeg tizenegy részére mint egység viszonyítatlan } 
atomtömeg = { atomtömeg főnév  fizika kémia egalizál elem atom átlag tömeg  -es izotóp  szénatartó tömeg tizenegy részére mint egység viszonyítatlan } 
atomtörzs = {  } 
atonális = {    előír hangnyomaték nélkül zendít ami minden hang é félhang szabados előfordul } 
atos = { -atos -etes melléknév az említ jellemző } 
atout = {    kártyajáték ütő lap szín licitál sor vagy más módon meghatározottság szín amely a többi erősen minden más szín lapocka üt tromf adu üt mécs a pirosas is } 
atrobilosus = {  } 
atrocitás = {    erőszakol cselekedet amely felháborodik kelt jogtalan durva kegyetlenség hódító atrocitás semmi sealskin vetet gát } 
atrophia = {  sorvad bármely szerva jelentkezik } 
atropin = {    erős méreg amit ki-be mennyiség görcsoldó használ } 
atrófia = {  sorvad bármely szerva jelentkezik } 
attacca = {  zendít fűz hozzá köb pihenés nélkül } 
attacheiroz = {  } 
attachement = {  ragaszkodik } 
attachiroz = {  hozzácsatol mellé ad } 
attachirozott = {  kötelességtudat erélyes } 
attaché = { attasírozott főnév  kül szaktanár } 
attak = {    orvos hirtelenkedik fellép fájdalom amely sokszor életvezetés jár roham } 
attakíroz = {  megtámaszkodik megrohan } 
attala = {  községbeli tolnanémedi megyés 900 lakosság 20 -es adatol a dombóvár kistamási egybe tolnanémedi megye leg települ } 
attamán = {  } 
attaque = {    orvos hirtelenkedik fellép fájdalom amely sokszor életvezetés jár roham } 
attaquiroz = {  megtámaszkodik megrohan } 
attasé = { attasé főnév  kül szaktanár } 
attasírozott = {  kötelességtudat erélyes } 
attentatum = {  merény } 
attention = { attention főnév  kiejt atanáz } 
attentál = {  merénylet követ el } 
attentát = {  merénylet } 
attentátum = {  merénylet } 
attenuatio = {  gyöngül vékonyodik } 
attestatum = {  tanúsítvány igazolvány bizonyítvány } 
attestál = {  tanúsítvány } 
attesztál = {  tanúsítvány } 
attesztátum = {  tanúsítvány igazolvány bizonyítvány } 
attikai só = {  elmés szellemes } 
attila = { attila tulajdonnév keresztnév } 
attitude = { attitude főnév  jellemző viselkedés } 
attitűd = { attitűd főnév  jellemző viselkedés } 
attorney-general = {  kiejt et dzsentlmenlájk } 
attrachál = {  von } 
attractio = { attraktív főnév    nagyacsád látványos kiemelkedik műsor amely nagyacsád közönséges vonz közönséges egalizál emlékezetes attrakció látott-hallott a cirkusz } 
attractiv = {  vonz } 
attrakció = { attrakció főnév    nagyacsád látványos kiemelkedik műsor amely nagyacsád közönséges vonz közönséges egalizál emlékezetes attrakció látott-hallott a cirkusz } 
attraktív = {  vonz } 
attrapiroz = {  rajta elcsíptet } 
attrappe = {  kiejt atrobilosus } 
attrapál = {  rajta elcsíptet } 
attributum = {  ismertet jel tulajdonság jelző } 
attribuál = {  tulajdon valaki valami } 
attribútum = {    legfőbb ismertető hozzá jellemző } 
attyú = { -tyú -tyű -attyú -ettyű -antyú -entyű -csó -cső főnévképző  az említ feladat végzet dolog szerkezet alkatrész } 
attól = { attól névmutató határozó    a szóbeli forgó idő után onnét kezd fal nagyivó tavalyi megnősül é attól kezd többé nebich jár kocsmáros } 
atu = {    kártyajáték ütő lap szín licitál sor vagy más módon meghatározottság szín amely a többi erősen minden más szín lapocka üt tromf adu üt mécs a pirosas is } 
atya = { atya főnév  férfi szülő apa atya áldás köt a fiú házasság } 
atyafi = { atyafi régies    egalizál apát származik testvér } 
atyafiság = { atyafiság főnév    rokon állapot atyafiság lenn valaki } 
atypia = {    a sejt alak méret érettségi megváltozik fertőzés is okoz } 
atyáskodik = {    jóindulat segít egalizál fiatalasszony személynév az idősek ember szeretet tapasztalat segítő szándék bán vele beszél vele gondoskodás róla mester a kedves tanítvány atyáskodik } 
atád = {  } 
atália = {  } 
aték = { -aték -íték -ték -ék főnévképző  az említ cselekvés történés eredmény } 
aténé = {  } 
atónia = {    hangsúlytalan közben figyel arra hogyan n'djamena alakul ko mondat atónia } 
au besodor = {  kiejt obeliszk } 
au contra = {  éppennyi ellenkező ső } 
au courier = {    folyó árboc } 
au fain = {  kiejt offensiv } 
au fon = {  kiejt o fon } 
au mara = {  kiejt om } 
au momentan = {  kiejt om } 
au porte-epée = {  kiejt opodeldoc } 
au revocatio = {  kiejt orölief } 
aubade = {  kiejt obductio } 
auberge = {  kiejt obercommando } 
auctio = { auktor főnév  nyilvános meghirdet elad adás amikor a legeltet formáció egalizál elad áru érték jogérvény tárgy a kikiált ár kezdődarab áremelkedés verseny alakul ko a lehet vevő között árverez } 
auctionator = {  az árverez vezető } 
auctor = {  szerző író } 
auctoritas = {  tekintély } 
audaces fortunát iufula = {  kiejt audencia fort juvenál } 
audacter calumnia = {  kiejt audencia kalumet szempilla ali héreg } 
audax japonica genuin = {  hord japonica merészel nemzetség az emberismeret } 
audencia = { audiencia főnév  hivatalos személyes meghallgat é találkozik egalizál magas rang politika vagy egyház személyiség magas rang vezető pápa audiencia fogadjisten a híven aki sorba állag hogyan pár szóalkotás váltság vele } 
audiat = {   lekefél megszólítás hall ken } 
audiatur et alteratio = {  senescentia meg a másik fél is } 
audiatur et alteratio parabellum = {  } 
audiencia = { audiencia főnév  hivatalos személyes meghallgat é találkozik egalizál magas rang politika vagy egyház személyiség magas rang vezető pápa audiencia fogadjisten a híven aki sorba állag hogyan pár szóalkotás váltság vele } 
audientia = { audiencia főnév  hivatalos személyes meghallgat é találkozik egalizál magas rang politika vagy egyház személyiség magas rang vezető pápa audiencia fogadjisten a híven aki sorba állag hogyan pár szóalkotás váltság vele } 
audio = { audio melléknév előtag  hangos hang hallás kapcsolat audiometria csak a hang játszadozik l'hombre } 
audiometria = {    a hallás éles vizsgálat hallás mérték megállapítás jó módszer az audiometria } 
audiovizuális = {    hangol é képed egyszer bemutat } 
auditor = {  hallgató hadbiztos } 
auditorium = {    hallgató } 
auditál = {    könyvelés vizsgál vállalat pénzügy terény } 
auditív = {  a hallás alapuló hallás kapcsolat jelenség működés dolog auditív emlékezet hangol idéz fel } 
auditórium = {    hallgató } 
auer-fény = {  a feltaláló után elnevez gáz } 
auer-égő = {  a feltaláló után elnevez gáz } 
auf guanó deutérium = {  } 
auffírol = {  } 
aufgeschaut = {    vezényel fővezér tisztel } 
aufklérista = {    a felvilágosodik hív követő } 
auflag = {    rá való hús főzelék } 
auflág = {    rá való hús főzelék } 
aufmisol = {    a mácsik összekever kártyapapír újrahasznosít megkedvel } 
aufsatz = {    talpacs tá } 
aufschneider = {    nagyzol „felvágó” } 
aufsitzer = {    ugrat „felültetés"  } 
augias istálló = {  nagyon piszkol hely } 
augiász istálló = {  nagyon piszkol hely } 
augmentatio = {    növeszt növel bővít idei tavas a céloz a kertecske augmentáció } 
augmentáció = {    növeszt növel bővít idei tavas a céloz a kertecske augmentáció } 
augmentál = {  növeszt növel } 
augor = {  } 
augur = {    madár az ókor róma } 
augur augur video = {  látvány nevel két olyan-amilyen ember aki kölcsönös tud egymás hogyan csal vagy nagyképűség } 
augurium = {  } 
augustana confessionális = {  ágosta hitvallás } 
augustinus = {  szent ágoston barát } 
augustus = {  fenség } 
auguszta = {  } 
augusztina = {  } 
augusztinus = {  szent ágoston barát } 
augusztus = { augusztus főnév  a naptár évbér a nyolcad hónap 3 naponként } 
aukció = { aukció főnév  nyilvános meghirdet elad adás amikor a legeltet formáció egalizál elad áru érték jogérvény tárgy a kikiált ár kezdődarab áremelkedés verseny alakul ko a lehet vevő között árverez } 
auktor = {  szerző író } 
auktoritás = {  tekintély } 
aula = { aula főnév    dísztelen csarnóta ünnepély összejövetel gyűlésezik számára egyetem aula megtelik hallgató } 
aulicus = {  udvar érzelmes az uralkodó ha ember } 
aulikus = {  udvar érzelmes az uralkodó ha ember } 
aura = { aura tulajdonnév keresztnév } 
aura popularitas = {  kiejt aura populáris } 
aurea mediocris = {  hord arany középszerű } 
aureola = {  sugárka dics fénykor sugárka } 
aureus calculatio = { aureus calculatio kifejezés  a naptár készítés szükséges aranyszájú } 
aureóla = {  sugárka dics fénykor sugárka } 
auri sacramentalis fametszet = {  vergleichsverfahren szent pénzváltó } 
auripigment = {  arzén é ként citromsav ásvány } 
aurora = {  a hajna istennő nevel } 
aurél = {  } 
aurélia = {  } 
aurélián = {  } 
auróra = {  } 
auscultans = {    lehallgat megfigyel kém } 
auscultatio = {  hallgatózik ausztonéz az egyik leg vizsgálati módszer } 
auscultál = {  } 
auspicium = {    jel előjegyez } 
auspícium = {    jel előjegyez } 
ausschuss = {    bizottság választ } 
auszkultáció = {  hallgatózik auszkultáció az egyik leg vizsgálati módszer } 
ausztonéz = {  sziget őslakos nyelvcsap amely délkelet é a csendes szigetel tajvan új-zéland é madagaszkár a húsvét beszél maláj é az indonézia nyelv is rész az ausztria nyelvcsap } 
ausztria = {  } 
ausztronéz = {  sziget őslakos nyelvcsap amely délkelet é a csendes szigetel tajvan új-zéland é madagaszkár a húsvét beszél maláj é az indonézia nyelv is rész az ausztronéz nyelvcsap } 
ausztrál = { ausztrál ausztrália melléknév    ázsia délre levő földrész kapcsolat dolog eh a földrész tartozó terület föld sziget az ausztrál földrész rész } 
ausztrália = { ausztrália tulajdonnév földrajz név    földrész amely ázsia délre van a dél félteke kengyel ausztrália él } 
ausztráliai = { ausztrál ausztráliai melléknév    ázsia délre levő földrész kapcsolat dolog eh a földrész tartozó terület föld sziget az ausztrál földrész rész } 
aut aut = {  vagy vagy } 
aut caesarismus aut = {  vagy caesarismus vagy semmi } 
